Slot,Square,Multiply,Reduce
950,0,42,41
951,0,42,41
952,0,42,41
953,0,42,41
954,0,42,41
955,0,42,0
956,0,42,41
957,0,42,41
958,0,42,41
959,0,42,41
960,0,42,41
961,41,0,41
962,0,42,41
963,0,42,0
964,0,42,41
965,0,42,41
966,0,42,41
967,0,42,41
968,0,42,0
969,0,42,41
970,0,0,41
971,41,42,41
972,41,42,41
973,0,42,41
974,0,42,41
975,0,42,41
976,41,42,41
977,0,42,0
978,0,42,41
979,0,42,41
980,0,42,41
981,42,42,0
982,0,42,41
983,0,42,41
984,0,42,41
985,0,0,41
986,41,0,41
987,0,42,41
988,0,42,41
989,0,42,41
990,41,42,41
991,0,42,41
992,0,42,41
993,0,42,41
994,0,42,41
995,0,0,41
996,0,42,41
997,42,41,42
998,0,42,41
999,41,42,41
1000,0,42,41
1001,0,42,41
1002,0,42,41
1003,41,0,41
1004,41,42,41
1005,0,42,41
1006,0,42,0
1007,0,42,41
1008,0,42,41
1009,0,42,41
1010,41,42,41
1011,0,42,41
1012,0,42,41
1013,0,0,41
1014,0,42,41
1015,41,0,41
1016,0,42,41
1017,0,42,41
1018,0,42,41
1019,41,42,41
1020,41,42,41
1021,0,42,41
1022,41,0,41
1023,0,42,41
1024,0,42,41
1025,0,42,41
1026,0,42,41
1027,0,42,41
1028,0,42,41
1029,0,42,41
1030,41,0,41
1031,0,0,41
1032,41,42,41
1033,41,42,41
1034,0,42,41
1035,0,42,41
1036,0,42,41
1037,41,0,41
1038,0,42,41
1039,0,42,41
1040,0,0,41
1041,0,42,41
1042,41,0,41
1043,41,42,41
1044,0,42,0
1045,42,83,42
1046,0,42,41
1047,0,42,41
1048,0,42,0
1049,42,42,0
1050,0,42,41
1051,0,42,41
1052,0,42,41
1053,0,0,41
1054,0,42,41
1055,0,42,41
1056,42,42,83
1057,0,0,0
1058,0,0,0
1059,0,0,0
1060,42,41,42
1061,42,83,42
1062,42,41,84
1063,42,41,42
1064,42,41,42
1065,42,41,42
1066,0,83,42
1067,42,83,42
1068,42,83,42
1069,42,83,42
1070,42,41,42
1071,42,41,42
1072,0,42,42
1073,0,42,42
1074,42,42,41
1075,42,41,42
1076,41,0,41
1077,41,42,41
1078,0,42,41
1079,0,42,41
1080,0,42,41
1081,41,0,41
1082,0,42,41
1083,0,42,41
1084,0,42,41
1085,0,42,41
1086,0,42,41
1087,41,0,41
1088,41,0,41
1089,0,42,41
1090,0,42,41
1091,0,42,0
1092,0,42,41
1093,0,42,41
1094,0,42,41
1095,0,42,41
1096,0,42,41
1097,0,42,41
1098,42,42,0
1099,0,42,41
1100,0,42,41
1101,0,42,41
1102,0,42,41
1103,0,42,41
1104,0,42,41
1105,0,42,41
1106,0,42,41
1107,0,42,41
1108,0,42,41
1109,0,0,41
1110,41,42,41
1111,0,42,0
1112,0,42,41
1113,0,42,41
1114,41,0,41
1115,41,0,41
1116,41,42,41
1117,0,42,41
1118,0,42,41
1119,0,42,41
1120,42,42,0
1121,0,42,41
1122,0,42,41
1123,0,42,41
1124,0,42,41
1125,0,42,41
1126,41,42,41
1127,0,42,41
1128,0,42,41
1129,0,42,0
1130,0,42,41
1131,0,42,41
1132,0,42,41
1133,0,42,41
1134,0,42,41
1135,0,42,41
1136,41,0,41
1137,0,42,0
1138,42,42,0
1139,42,42,0
1140,41,0,41
1141,0,42,41
1142,41,0,41
1143,0,42,41
1144,0,42,41
1145,42,42,0
1146,0,42,41
1147,0,42,41
1148,0,42,41
1149,0,42,41
1150,0,42,41
1151,0,42,41
1152,0,0,41
1153,0,42,0
1154,0,42,41
1155,41,0,41
1156,41,0,41
1157,0,42,41
1158,0,42,0
1159,0,42,41
1160,0,42,41
1161,0,42,41
1162,0,42,41
1163,0,42,41
1164,0,42,41
1165,0,42,41
1166,41,0,41
1167,41,42,41
1168,41,42,41
1169,0,42,41
1170,0,42,41
1171,0,42,41
1172,0,0,41
1173,0,42,41
1174,0,42,41
1175,0,42,41
1176,41,42,41
1177,0,42,41
1178,0,42,41
1179,0,42,41
1180,0,42,41
1181,0,42,41
1182,41,0,41
1183,42,42,0
1184,0,42,41
1185,0,42,41
1186,0,42,41
1187,0,42,41
1188,0,42,41
1189,0,42,41
1190,0,42,41
1191,0,42,41
1192,0,42,41
1193,0,42,41
1194,0,0,41
1195,0,42,41
1196,41,0,41
1197,0,42,41
1198,42,42,0
1199,0,42,41
1200,0,42,41
1201,0,42,41
1202,0,42,41
1203,0,42,41
1204,0,42,41
1205,0,42,41
1206,0,42,42
1207,0,42,41
1208,42,42,0
1209,41,0,41
1210,41,0,41
1211,0,42,41
1212,41,0,41
1213,0,42,41
1214,0,42,41
1215,0,42,0
1216,0,42,41
1217,0,42,41
1218,0,42,41
1219,0,42,41
1220,0,42,41
1221,0,42,41
1222,0,42,41
1223,0,0,41
1224,41,0,41
1225,41,0,41
1226,0,42,41
1227,0,42,41
1228,0,42,41
1229,0,42,41
1230,41,0,41
1231,0,42,41
1232,0,42,41
1233,0,42,41
1234,0,42,41
1235,41,0,41
1236,0,42,41
1237,0,42,41
1238,41,42,41
1239,0,42,41
1240,0,42,41
1241,0,0,41
1242,41,0,41
1243,0,42,41
1244,41,0,41
1245,41,42,41
1246,0,42,41
1247,0,42,41
1248,41,42,41
1249,0,42,41
1250,0,42,41
1251,0,42,41
1252,0,42,0
1253,0,42,41
1254,0,42,41
1255,0,42,41
1256,0,42,41
1257,0,42,41
1258,0,42,41
1259,0,42,0
1260,41,42,41
1261,0,42,0
1262,41,0,41
1263,0,42,41
1264,0,42,0
1265,0,42,41
1266,0,42,0
1267,41,42,41
1268,0,42,41
1269,0,42,41
1270,0,42,41
1271,0,42,41
1272,0,42,41
1273,0,0,41
1274,0,42,41
1275,0,42,41
1276,0,42,41
1277,0,42,0
1278,41,42,41
1279,41,42,41
1280,0,42,0
1281,0,42,41
1282,0,42,41
1283,0,42,41
1284,41,0,41
1285,0,42,41
1286,0,42,41
1287,0,42,41
1288,0,42,41
1289,0,42,41
1290,0,42,41
1291,0,42,41
1292,0,42,41
1293,0,42,41
1294,41,0,41
1295,0,42,41
1296,0,42,41
1297,0,42,41
1298,0,42,41
1299,0,42,41
1300,0,42,41
1301,41,42,41
1302,0,42,0
1303,0,42,41
1304,0,42,41
1305,0,42,41
1306,0,42,41
1307,0,42,41
1308,0,42,0
1309,0,42,0
1310,0,42,41
1311,0,42,41
1312,41,0,41
1313,0,42,41
1314,0,42,41
1315,0,0,41
1316,0,42,41
1317,0,41,42
1318,0,0,0
1319,0,0,0
1320,0,0,0
1321,0,0,0
1322,0,0,0
1323,0,0,0
1324,0,0,0
1325,0,42,41
1326,0,42,41
1327,0,42,41
1328,42,42,0
1329,41,0,41
1330,0,42,41
1331,0,42,41
1332,0,42,41
1333,0,42,41
1334,0,42,41
1335,0,42,41
1336,0,42,41
1337,42,42,0
1338,41,42,41
1339,0,42,41
1340,0,42,41
1341,0,42,41
1342,0,42,41
1343,0,42,41
1344,0,42,41
1345,42,42,0
1346,0,42,41
1347,0,42,41
1348,0,42,41
1349,0,42,41
1350,41,42,41
1351,0,42,41
1352,41,0,41
1353,0,42,41
1354,0,42,41
1355,0,42,41
1356,41,0,41
1357,0,42,41
1358,41,0,41
1359,41,0,41
1360,0,42,41
1361,0,42,41
1362,0,42,41
1363,41,0,41
1364,0,42,41
1365,41,0,41
1366,0,42,41
1367,0,42,41
1368,0,42,41
1369,0,42,41
1370,42,42,0
1371,41,0,41
1372,41,0,41
1373,0,42,41
1374,0,42,41
1375,0,42,41
1376,0,42,41
1377,0,42,41
1378,0,42,41
1379,0,0,41
1380,0,42,41
1381,41,42,41
1382,0,42,41
1383,0,42,41
1384,42,42,0
1385,0,42,41
1386,0,42,41
1387,0,0,41
1388,0,42,41
1389,0,42,41
1390,41,0,41
1391,0,42,41
1392,0,42,41
1393,41,42,41
1394,41,0,41
1395,0,42,41
1396,0,42,41
1397,0,42,41
1398,41,42,41
1399,0,42,41
1400,0,0,41
1401,41,42,41
1402,0,42,41
1403,41,42,41
1404,41,0,41
1405,0,42,41
1406,41,42,41
1407,0,42,41
1408,0,42,41
1409,0,42,41
1410,0,42,41
1411,41,0,41
1412,0,42,41
1413,0,42,41
1414,0,42,41
1415,0,42,83
1416,0,42,41
1417,41,0,41
1418,0,42,41
1419,0,42,41
1420,0,42,41
1421,0,42,41
1422,0,42,41
1423,42,42,0
1424,0,42,41
1425,0,42,41
1426,0,42,41
1427,0,42,0
1428,41,0,41
1429,0,42,41
1430,42,41,42
1431,42,83,42
1432,0,83,83
1433,42,83,42
1434,42,83,42
1435,42,42,42
1436,42,41,42
1437,42,83,42
1438,42,41,42
1439,42,42,42
1440,41,0,41
1441,0,42,41
1442,0,42,0
1443,0,42,41
1444,0,42,41
1445,0,42,41
1446,0,42,0
1447,0,42,41
1448,0,42,41
1449,0,42,41
1450,0,42,41
1451,0,42,41
1452,0,42,41
1453,0,42,41
1454,0,42,41
1455,42,42,42
1456,42,41,42
1457,42,41,42
1458,42,41,42
1459,42,41,42
1460,42,41,42
1461,42,41,42
1462,42,41,42
1463,0,42,42
1464,42,41,42
1465,0,42,42
1466,42,41,42
1467,42,41,42
1468,42,41,42
1469,0,41,42
1470,42,41,42
1471,0,41,42
1472,42,41,42
1473,0,83,41
1474,42,41,42
1475,42,41,84
1476,41,0,41
1477,42,42,0
1478,0,42,41
1479,42,42,0
1480,0,42,41
1481,0,42,41
1482,0,42,0
1483,0,42,42
1484,0,42,41
1485,0,42,41
1486,0,42,41
1487,0,42,41
1488,0,42,41
1489,0,42,41
1490,0,42,41
1491,0,42,41
1492,0,42,41
1493,0,42,41
1494,0,0,41
1495,0,42,41
1496,0,42,41
1497,0,42,41
1498,0,0,41
1499,0,42,41
1500,0,42,41
1501,0,42,41
1502,0,42,41
1503,0,42,41
1504,0,42,41
1505,0,42,41
1506,41,42,41
1507,0,0,41
1508,0,42,41
1509,41,0,41
1510,42,42,0
1511,41,42,41
1512,0,42,41
1513,0,42,41
1514,0,42,41
1515,0,42,41
1516,0,42,41
1517,0,42,41
1518,0,42,41
1519,0,42,41
1520,0,42,41
1521,0,42,41
1522,0,42,41
1523,42,42,0
1524,0,42,41
1525,0,42,41
1526,42,42,0
1527,0,42,41
1528,0,42,41
1529,0,42,41
1530,0,42,41
1531,0,42,41
1532,0,42,41
1533,0,42,41
1534,0,42,41
1535,0,42,41
1536,0,42,41
1537,0,42,41
1538,0,42,0
1539,0,42,41
1540,0,42,41
1541,0,42,41
1542,0,0,41
1543,0,42,41
1544,41,0,41
1545,41,0,41
1546,0,42,41
1547,0,42,41
1548,0,42,41
1549,0,42,41
1550,0,42,41
1551,0,42,41
1552,41,42,41
1553,0,42,41
1554,0,42,41
1555,0,42,41
1556,41,0,41
1557,0,0,0
1558,0,42,41
1559,0,42,41
1560,0,42,41
1561,0,42,41
1562,41,42,41
1563,0,42,41
1564,0,42,41
1565,0,42,41
1566,41,0,41
1567,0,42,41
1568,0,42,41
1569,0,42,41
1570,0,42,41
1571,0,42,41
1572,41,0,41
1573,0,0,41
1574,41,0,41
1575,0,42,41
1576,0,42,41
1577,0,42,41
1578,0,42,41
1579,0,42,41
1580,0,42,41
1581,0,42,41
1582,0,42,41
1583,0,42,41
1584,0,42,41
1585,41,0,41
